function	function_usr	provenance	current_source	current_header	original_source	original_header	linux	macos	freebsd	native_function	native_function_usr
p101_ftok	c:@F@p101_ftok	XSI	libraries/lib_ipc/src/sys/ipc.c	libraries/lib_ipc/include/p101_ipc/sys/p101_ipc.h	libraries/lib_posix_xsi/src/sys/ipc.c	libraries/lib_posix_xsi/include/p101_posix_xsi/sys/p101_ipc.h	yes	yes	yes	ftok	c:@F@ftok
p101_mkfifo	c:@F@p101_mkfifo	POSIX	libraries/lib_ipc/src/sys/stat.c	libraries/lib_ipc/include/p101_ipc/sys/p101_stat.h	libraries/lib_posix/src/sys/stat.c	libraries/lib_posix/include/p101_posix/sys/p101_stat.h	yes	yes	yes	mkfifo	c:@F@mkfifo
p101_msgctl	c:@F@p101_msgctl	XSI	libraries/lib_ipc/src/sys/msg.c	libraries/lib_ipc/include/p101_ipc/sys/p101_msg.h	libraries/lib_posix_xsi/src/sys/msg.c	libraries/lib_posix_xsi/include/p101_posix_xsi/sys/p101_msg.h	yes	yes	yes	msgctl	c:@F@msgctl
p101_msgget	c:@F@p101_msgget	XSI	libraries/lib_ipc/src/sys/msg.c	libraries/lib_ipc/include/p101_ipc/sys/p101_msg.h	libraries/lib_posix_xsi/src/sys/msg.c	libraries/lib_posix_xsi/include/p101_posix_xsi/sys/p101_msg.h	yes	yes	yes	msgget	c:@F@msgget
p101_msgrcv	c:@F@p101_msgrcv	XSI	libraries/lib_ipc/src/sys/msg.c	libraries/lib_ipc/include/p101_ipc/sys/p101_msg.h	libraries/lib_posix_xsi/src/sys/msg.c	libraries/lib_posix_xsi/include/p101_posix_xsi/sys/p101_msg.h	yes	yes	yes	msgrcv	c:@F@msgrcv
p101_msgsnd	c:@F@p101_msgsnd	XSI	libraries/lib_ipc/src/sys/msg.c	libraries/lib_ipc/include/p101_ipc/sys/p101_msg.h	libraries/lib_posix_xsi/src/sys/msg.c	libraries/lib_posix_xsi/include/p101_posix_xsi/sys/p101_msg.h	yes	yes	yes	msgsnd	c:@F@msgsnd
p101_pipe	c:@F@p101_pipe	POSIX	libraries/lib_ipc/src/unistd.c	libraries/lib_ipc/include/p101_ipc/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	pipe	c:@F@pipe
p101_semctl	c:@F@p101_semctl	XSI	libraries/lib_ipc/src/sys/sem.c	libraries/lib_ipc/include/p101_ipc/sys/p101_sem.h	libraries/lib_posix_xsi/src/sys/sem.c	libraries/lib_posix_xsi/include/p101_posix_xsi/sys/p101_sem.h	yes	yes	yes	semctl	c:@F@semctl
p101_semctl_arg	c:@F@p101_semctl_arg	XSI	libraries/lib_ipc/src/sys/sem.c	libraries/lib_ipc/include/p101_ipc/sys/p101_sem.h	libraries/lib_posix_xsi/src/sys/sem.c	libraries/lib_posix_xsi/include/p101_posix_xsi/sys/p101_sem.h	yes	yes	yes	semctl	c:@F@semctl
p101_semget	c:@F@p101_semget	XSI	libraries/lib_ipc/src/sys/sem.c	libraries/lib_ipc/include/p101_ipc/sys/p101_sem.h	libraries/lib_posix_xsi/src/sys/sem.c	libraries/lib_posix_xsi/include/p101_posix_xsi/sys/p101_sem.h	yes	yes	yes	semget	c:@F@semget
p101_semop	c:@F@p101_semop	XSI	libraries/lib_ipc/src/sys/sem.c	libraries/lib_ipc/include/p101_ipc/sys/p101_sem.h	libraries/lib_posix_xsi/src/sys/sem.c	libraries/lib_posix_xsi/include/p101_posix_xsi/sys/p101_sem.h	yes	yes	yes	semop	c:@F@semop
p101_shm_open	c:@F@p101_shm_open	POSIX-optional	libraries/lib_ipc/src/sys/mman.c	libraries/lib_ipc/include/p101_ipc/sys/p101_mman.h	libraries/lib_posix_optional/src/sys/mman.c	libraries/lib_posix_optional/include/p101_posix_optional/sys/p101_mman.h	yes	yes	yes	shm_open	c:@F@shm_open
p101_shm_unlink	c:@F@p101_shm_unlink	POSIX-optional	libraries/lib_ipc/src/sys/mman.c	libraries/lib_ipc/include/p101_ipc/sys/p101_mman.h	libraries/lib_posix_optional/src/sys/mman.c	libraries/lib_posix_optional/include/p101_posix_optional/sys/p101_mman.h	yes	yes	yes	shm_unlink	c:@F@shm_unlink
p101_shmat	c:@F@p101_shmat	XSI	libraries/lib_ipc/src/sys/shm.c	libraries/lib_ipc/include/p101_ipc/sys/p101_shm.h	libraries/lib_posix_xsi/src/sys/shm.c	libraries/lib_posix_xsi/include/p101_posix_xsi/sys/p101_shm.h	yes	yes	yes	shmat	c:@F@shmat
p101_shmctl	c:@F@p101_shmctl	XSI	libraries/lib_ipc/src/sys/shm.c	libraries/lib_ipc/include/p101_ipc/sys/p101_shm.h	libraries/lib_posix_xsi/src/sys/shm.c	libraries/lib_posix_xsi/include/p101_posix_xsi/sys/p101_shm.h	yes	yes	yes	shmctl	c:@F@shmctl
p101_shmdt	c:@F@p101_shmdt	XSI	libraries/lib_ipc/src/sys/shm.c	libraries/lib_ipc/include/p101_ipc/sys/p101_shm.h	libraries/lib_posix_xsi/src/sys/shm.c	libraries/lib_posix_xsi/include/p101_posix_xsi/sys/p101_shm.h	yes	yes	yes	shmdt	c:@F@shmdt
p101_shmget	c:@F@p101_shmget	XSI	libraries/lib_ipc/src/sys/shm.c	libraries/lib_ipc/include/p101_ipc/sys/p101_shm.h	libraries/lib_posix_xsi/src/sys/shm.c	libraries/lib_posix_xsi/include/p101_posix_xsi/sys/p101_shm.h	yes	yes	yes	shmget	c:@F@shmget
